candidate,objective_J,C0_star,mean_IS,mean_variable_payment,mean_agent_YT,mean_terminal_inventory,mean_clip_count,hjb_seconds,mc_seconds,beta_0,beta_1,beta_2
28,3.430985668344057,33.563847269637456,3.4298566191020616,49.86600934946461,-33.56318765051567,0.07602693602693603,0.0,14.346784499997739,0.36188929999480024,0.5,0.0,1.5
34,3.453822206258309,8.81544243171811,3.451109915136205,74.6356674834181,-8.813382217095892,0.004309764309764311,0.0,15.042531199986115,0.29592319997027516,0.5,0.5,2.0
6,3.4610710286506006,58.71178904034776,3.4607341944368426,24.748945154089082,-58.711147201895265,0.07037037037037033,0.0,12.968544300005306,0.3012830999796279,0.0,0.5,0.5
20,3.4847162532503546,30.400608205463563,3.483471962096005,53.08286375663244,-30.400297227943508,0.05740740740740737,0.0,14.56141339999158,0.2995935999788344,0.0,2.0,0.0
33,3.5247400164164517,20.369364204741736,3.5229424408769865,63.15357823613525,-20.368160686144286,0.07121212121212124,0.0,15.600777999963611,0.2981860000290908,0.5,0.5,1.5
37,3.5856368670965466,18.60352284959864,3.583947867790311,64.98042501819167,-18.599492928994366,0.08205387205387199,0.0,11.123001999978442,0.3007157000247389,0.5,1.0,1.0
10,3.5959701571003,57.03597101908334,3.5956605334149323,26.55968951433159,-57.034090901885754,0.09639730639730637,0.0,12.928228199947625,0.2969346000463702,0.0,1.0,0.0
1,3.6080512026793343,72.14463027818283,3.6079566971105774,11.463326418927746,-72.14320273170807,0.08599326599326597,0.0,6.535236899973825,0.16407060000346974,0.0,0.0,0.5
16,3.6681248579288663,32.34669998848598,3.6668255041729596,51.32012551568698,-32.345768909483155,0.05606060606060608,0.0,14.483946199994534,0.292415100033395,0.0,1.5,0.5
13,3.755576158241027,22.781622769197618,3.753440577512726,60.97181780831511,-22.779970979072004,0.001144781144781145,0.0,14.223855699994601,0.2956937000271864,0.0,1.0,1.5
38,3.8458885489158092,7.413611454354197,3.843302598920927,76.42969114456673,-7.411285370901626,0.07205387205387204,0.0,15.112503799959086,0.29223319998709485,0.5,1.0,1.5
70,3.97147867091401,0.0,3.9693883999654416,83.96938839996544,1.8456362534628477,1.1102230246251566e-18,0.0,14.486120499961544,0.2909898000070825,1.0,2.0,0.0
8,4.069837890977624,36.41585258617249,4.068445325693554,47.65259273952107,-36.41488074328902,0.04218855218855213,0.0,14.091067400004249,0.3093992999638431,0.0,0.5,1.5
4,4.08923079821917,38.25586806040231,4.087766785054543,45.831898724652234,-38.25464984253166,0.011885521885521786,0.0,14.043029099993873,0.30304250004701316,0.0,0.0,2.0
18,4.1049385359850135,9.864464222554286,4.101964844012706,74.23750062145841,-9.862229524612351,0.0384848484848484,0.0,14.576119599980302,0.29578759998548776,0.0,1.5,1.5
17,4.228058504400025,21.469974568435767,4.2259910318936935,62.756016463457925,-21.46852158204028,0.060606060606060504,0.0,15.237522599985823,0.29242120002163574,0.0,1.5,1.0
82,4.310478519364381,1.7002589432501363,4.308731795471276,82.60847285222114,-1.6273618729474837,0.13686868686868683,0.0,15.494974799978081,0.2987235999898985,1.5,0.5,1.0
86,4.372115213809224,0.0,4.370324176370142,84.37032417637013,2.3143155801593873,0.04636363636363634,0.0,15.563905999995768,0.29066930001135916,1.5,1.0,0.5
3,4.440121833166167,50.078400932597475,4.439304331918628,34.36090339932115,-50.07800415323077,0.09269360269360272,0.0,13.812528599984944,0.30670710001140833,0.0,0.0,1.5
12,4.480410667644897,35.01214395141007,4.479073751638969,49.4669298002289,-35.011382353039984,0.09090909090909087,0.0,14.744691899977624,0.29452039999887347,0.0,1.0,1.0
7,4.6874050314972635,48.49340980528343,4.686605724856428,36.19319591957299,-48.489862253237526,0.09939393939393933,0.0,14.467990999983158,0.3012340000132099,0.0,0.5,1.0
102,4.817828577842988,0.0,4.8162433621245215,84.81624336212452,2.4433622331280493,0.08252525252525239,0.0,15.062555200012866,0.2912003999808803,2.0,0.0,1.0
21,4.902282862381291,20.338116461963317,4.90026825814551,64.5621517961822,-20.336729142133365,0.10932659932659933,0.0,14.213885099976324,0.2918665999895893,0.0,2.0,0.5
14,5.243035015548799,12.88843155806004,5.239995924511969,72.35156436645192,-12.885536516619124,0.10579124579124574,0.0,14.749114500009455,0.29287289996864274,0.0,1.0,2.0
58,5.292932746932067,6.6776929903322,5.2908736276679065,78.6131806373357,-6.6305174629598405,0.15673400673400667,0.0,13.538401099969633,0.3665917000034824,1.0,0.5,1.5
9,5.310240914830857,26.23314894473025,5.308078775321217,59.07492983059097,-26.231202574221516,0.11740740740740734,0.0,14.035413600038737,0.298341799993068,0.0,0.5,2.0
19,5.626419301823731,0.0,5.622367381725999,85.622367381726,0.18721378800766908,0.10525252525252511,0.0,14.236514399992302,0.2990767000010237,0.0,1.5,2.0
90,6.154974264770416,0.0,6.153199945926887,86.15319994592687,4.150448427073934,0.04878787878787875,0.0,14.73054650000995,0.2914376999833621,1.5,1.5,0.0
106,6.572755965564241,0.0,6.571255486617042,86.57125548661705,4.699776832088642,0.05575757575757578,0.0,14.54229450004641,0.2922235999722034,2.0,0.5,0.5
22,6.609284329480076,10.619984615963851,6.606440890326204,75.98645627436235,-10.61433127243957,0.1641077441077441,0.0,14.994711600011215,0.2926382000441663,0.0,2.0,1.0
42,6.836839267628889,8.646065178657974,6.834344596765051,78.18827941810707,-8.64193553945329,0.1862962962962963,0.0,15.076746999984607,0.2930366999935359,0.5,1.5,1.0
62,7.1975067448607035,6.791001769847328,7.195363474059468,80.40436170421215,-6.783133676286598,0.21107744107744106,0.0,15.347754799993709,0.29119790002005175,1.0,1.0,1.0
23,7.449227171395577,0.0,7.4452977287254845,87.44529772872549,1.4862203361574282,0.1307407407407407,0.0,13.927125100046396,0.2967421999783255,0.0,2.0,1.5
39,7.855257378199525,0.0,7.851612234832483,87.85161223483249,3.3342158394440093,0.09090909090909094,0.0,14.904905800009146,0.29380440001841635,0.5,1.0,2.0
110,8.339133375462353,0.0,8.337652505671652,88.33765250567166,6.367407439993205,0.04730639730639734,0.0,13.647234100033529,0.2888233999838121,2.0,1.0,0.0
43,9.671976194427998,0.0,9.668421587537745,89.66842158753774,4.5762818665408505,0.12225589225589224,0.0,14.975534099969082,0.29943750001257285,0.5,1.5,1.5
59,10.051352595751894,0.0,10.048281124192636,90.04828112419263,3.9178359538303478,0.17545454545454545,0.0,16.770078200032003,0.2959312999737449,1.0,0.5,2.0
47,11.464053213312852,0.0,11.460560698510877,91.46056069851087,5.120678655753656,0.16811447811447813,0.0,15.121240700013004,0.2933206000016071,0.5,2.0,1.0
79,12.26859924652912,0.0,12.26596485648892,92.2659648564889,6.884475011716207,0.16138047138047137,0.0,14.949188600003254,0.2949413000023924,1.5,0.0,2.0
